voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7367,274,2025-12-08 14:08:00,난방이 아니라 송풍 모드로 되어있습니다.,"난방 가능하도록 해주시면 감사하겠습니다.
모드 전환, 전원 오프 모두 안 되고 있습니다.",5F,사무실,난방모드로 복구완료,2025-12-08 14:25:51.046310,시설팀,박호근,난방이 아니라 송풍 모드로 되어있습니다.,"난방 가능하도록 해주시면 감사하겠습니다. 모드 전환, 전원 오프 모두 안 되고 있습니다. 난방이 아니라 송풍 모드로 되어있습니다. 난방모드로 복구완료",시설,냉난방/공조,작업,설정/제어,11.448000000000002,11.448000000000002,cron_20260114_144527,2026-01-14T14:48:09.858052+09:00
7397,274,2025-12-11 14:46:00,3사로 변기 막힘,"3사로 변기 막혀있습니다.
죄송하지만 확인 부탁드립니다.",5F,화장실(여자),통수처리 완료.,2025-12-11 15:22:20.187968,시설팀,박호근,3사로 변기 막힘,3사로 변기 막혀있습니다. 죄송하지만 확인 부탁드립니다. 3사로 변기 막힘 통수처리 완료.,시설,급배수/위생,청소/정리,청소/정리,8.856000000000002,2.8080000000000003,cron_20260114_144527,2026-01-14T14:48:09.858052+09:00
