voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7312,60,2025-12-03 12:56:00,방향제 설치,여자화장실에 방향제를 설치해주시면 좋을 것 깉습니다. 환기가 잘되지 않아서 주기적으로 자동 뿌려지는 방향제가 있으면 좀 더 쾌적하게 사용할 수 있을 것 같습니다.,5F,화장실 (여),"1년여 전부터 여자화장실에 세스코방향제 설치하여 운영중입니다.
방향제종류는 무향입니다.
",2025-12-03 13:32:53.980770,관리,강용,방향제 설치,여자화장실에 방향제를 설치해주시면 좋을 것 깉습니다. 환기가 잘되지 않아서 주기적으로 자동 뿌려지는 방향제가 있으면 좀 더 쾌적하게 사용할 수 있을 것 같습니다. 방향제 설치 1년여 전부터 여자화장실에 세스코방향제 설치하여 운영중입니다. 방향제종류는 무향입니다.,환경,소음/냄새/환기,청소/정리,청소/정리,10.234,5.33,cron_20260114_144527,2026-01-14T14:46:34.087093+09:00
7482,60,2025-12-18 15:08:00,화장실 내 휴지,화장실내 점보롤 티슈와 핸드티슈가 브랜드없는 제품입니다.  브랜드있는 깨끗한나라같은 회사로의 교체 요청드립니다,1F,화장실 (남),"삼정펄프 및 동방제지 회사제품 사용중이며
병원, 호텔, 서울특별시, 육군군수사령부, 지하철 공사 등 대규모 공공기관에 위생용품을 안정적으로 공급하는 회사제품입니다.",2025-12-19 11:02:28.680487,관리,강용,화장실 내 휴지,"화장실내 점보롤 티슈와 핸드티슈가 브랜드없는 제품입니다. 브랜드있는 깨끗한나라같은 회사로의 교체 요청드립니다 화장실 내 휴지 삼정펄프 및 동방제지 회사제품 사용중이며 병원, 호텔, 서울특별시, 육군군수사령부, 지하철 공사 등 대규모 공공기관에 위생용품을 안정적으로 공급하는 회사제품입니다.",환경,청결/미화,청소/정리,청소/정리,7.4,3.77,cron_20260114_144527,2026-01-14T14:46:34.087093+09:00
