voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7562,95,2025-12-24 16:28:00,5층 남자화장실 램프 교체,<p>5층 남자화장실 램프 교체<br></p>,5F,화장실(남),<p>5층 남자화장실 램프 교체완료<br></p>,2025-12-24 16:29:12.615387,시설,정영진,5층 남자화장실 램프 교체,5층 남자화장실 램프 교체 5층 남자화장실 램프 교체 5층 남자화장실 램프 교체완료,환경,청결/미화,작업,교체,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7563,95,2025-12-24 16:29:00,6층 EPS실 도어락 건전지 교체,<p>6층 EPS실 도어락 건전지 교체<br></p>,6F,사무실A,<p>6층 EPS실 도어락 건전지 교체완료<br></p>,2025-12-24 16:29:59.332803,시설,정영진,6층 EPS실 도어락 건전지 교체,6층 EPS실 도어락 건전지 교체 6층 EPS실 도어락 건전지 교체 6층 EPS실 도어락 건전지 교체완료,시설,출입/도어/승강기,작업,교체,7.5,3.5999999999999996,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7573,95,2025-12-25 08:50:00,"9층, 지하3층 소화 수조실 담수량 체크 및 수조 외관 상태 점검","<p>9층, 지하3층 소화 수조실 담수량 체크 및 수조 외관 상태 점검<br></p>",9F,공조실,<p>점검 완료 - 양호</p>,2025-12-25 16:31:19.007711,시설,박우현,"9층, 지하3층 소화 수조실 담수량 체크 및 수조 외관 상태 점검","9층, 지하3층 소화 수조실 담수량 체크 및 수조 외관 상태 점검 9층, 지하3층 소화 수조실 담수량 체크 및 수조 외관 상태 점검 점검 완료 - 양호",시설,급배수/위생,점검,상태점검,3.5999999999999996,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7574,95,2025-12-25 08:51:00,"DID 표출 상태, 통신 상태, 외관 상태 점검","<p>DID 표출 상태, 통신 상태, 외관 상태 점검<br></p>",1F,상업시설 A,<p>점검 완료 - 양호<br></p>,2025-12-25 16:31:30.792564,시설,박우현,"DID 표출 상태, 통신 상태, 외관 상태 점검","DID 표출 상태, 통신 상태, 외관 상태 점검 DID 표출 상태, 통신 상태, 외관 상태 점검 점검 완료 - 양호",시설,정보통신/IT,점검,상태점검,11.100000000000001,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7575,95,2025-12-25 08:52:00,동파 방지 판넬 셀렉타 스위치 정위치 확인 및 차단기 열화 여부 점검,<p>동파 방지 판넬 셀렉타 스위치 정위치 확인 및 차단기 열화 여부 점검<br></p>,9F,공조실,<p>점검 완료 - 양호<br></p>,2025-12-25 16:31:40.393802,시설,박우현,동파 방지 판넬 셀렉타 스위치 정위치 확인 및 차단기 열화 여부 점검,동파 방지 판넬 셀렉타 스위치 정위치 확인 및 차단기 열화 여부 점검 동파 방지 판넬 셀렉타 스위치 정위치 확인 및 차단기 열화 여부 점검 점검 완료 - 양호,시설,전기/조명,점검,상태점검,7.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7576,95,2025-12-25 08:54:00,"4층~1층 EPS실 차단기 온도 체크 및 단자, 부스바 열화 여부 점검","<p>4층~1층 EPS실 차단기 온도 체크 및 단자, 부스바 열화 여부 점검<br></p>",4F,사무실A,<p>점검 완료 - 양호<br></p>,2025-12-25 16:31:49.951995,시설,박우현,"4층 1층 EPS실 차단기 온도 체크 및 단자, 부스바 열화 여부 점검","4층 1층 EPS실 차단기 온도 체크 및 단자, 부스바 열화 여부 점검 4층 1층 EPS실 차단기 온도 체크 및 단자, 부스바 열화 여부 점검 점검 완료 - 양호",시설,전기/조명,점검,상태점검,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7577,95,2025-12-25 09:29:00,1층 여자 화장실 양변기 배수 상태 점검,<p>1층 여자 화장실 양변기 배수 상태 점검<br></p>,1F,화장실(여),<p>1층 여자 화장실 양변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-25 15:37:35.713441,시설,주민재,1층 여자 화장실 양변기 배수 상태 점검,1층 여자 화장실 양변기 배수 상태 점검 1층 여자 화장실 양변기 배수 상태 점검 1층 여자 화장실 양변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,11.100000000000001,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7578,95,2025-12-25 09:29:00,2층 남자 화장실 소변기 배수 상태 점검,<p>2층 남자 화장실 소변기 배수 상태 점검<br></p>,2F,화장실(남),<p>2층 남자 화장실 소변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-25 15:37:52.073940,시설,주민재,2층 남자 화장실 소변기 배수 상태 점검,2층 남자 화장실 소변기 배수 상태 점검 2층 남자 화장실 소변기 배수 상태 점검 2층 남자 화장실 소변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,7.199999999999999,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7579,95,2025-12-25 09:30:00,3층 여자 화장실 세면대 배수 상태 확인,<p>3층 여자 화장실 세면대 배수 상태 확인<br></p>,3F,화장실(여),"<p>3층 여자 화장실 세면대 배수 상태 확인 양호<br>
<br>
<br><br></p>",2025-12-25 15:38:16.264659,시설,주민재,3층 여자 화장실 세면대 배수 상태 확인,3층 여자 화장실 세면대 배수 상태 확인 3층 여자 화장실 세면대 배수 상태 확인 3층 여자 화장실 세면대 배수 상태 확인 양호,시설,급배수/위생,작업,교체,7.5,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7580,95,2025-12-25 09:30:00,4층 남자 화장실 세면대 배수 상태 확인,<p>4층 남자 화장실 세면대 배수 상태 확인<br></p>,4F,화장실(남),<p>4층 남자 화장실 세면대 배수 상태 확인&nbsp; 양호<br></p>,2025-12-25 15:38:33.881156,시설,주민재,4층 남자 화장실 세면대 배수 상태 확인,4층 남자 화장실 세면대 배수 상태 확인 4층 남자 화장실 세면대 배수 상태 확인 4층 남자 화장실 세면대 배수 상태 확인 양호,시설,급배수/위생,작업,교체,7.5,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
