voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7309,124,2025-12-03 09:31:00,"전기, 통신선 정리 요청","기존 포스 데스크 철거로 인한 전기, 통신선 정리 요청드립니다",6F,리빙파크,확인하겠습니다 ,2025-12-03 10:08:11.494325,전기,김영도,"전기, 통신선 정리 요청","기존 포스 데스크 철거로 인한 전기, 통신선 정리 요청드립니다 전기, 통신선 정리 요청 확인하겠습니다",시설,정보통신/IT,청소/정리,청소/정리,7.199999999999999,7.199999999999999,cron_20260114_144527,2026-01-14T14:47:37.587853+09:00
7391,124,2025-12-10 14:16:00,도파민 더디저트 치플레 타르트성수 싱크 수전 교체,싱크 수전 2개소 교체 바랍니다,3F,영풍문고,자재 요청해논 상태 입니다 입고후 교체 하겠습니다,2025-12-10 18:02:52.338728,설비,임근수,도파민 더디저트 치플레 타르트성수 싱크 수전 교체,싱크 수전 2개소 교체 바랍니다 도파민 더디저트 치플레 타르트성수 싱크 수전 교체 자재 요청해논 상태 입니다 입고후 교체 하겠습니다,시설,급배수/위생,작업,교체,3.5999999999999996,3.5999999999999996,cron_20260114_144527,2026-01-14T14:47:37.587853+09:00
7433,124,2025-12-14 15:26:00,에이치키친앞 바닥타일 교체,파손타일 보수바랍니다,4F,더센터,네 확인했습니다 ,2025-12-22 12:10:41.023580,건축,이창수,에이치키친앞 바닥타일 교체,파손타일 보수바랍니다 에이치키친앞 바닥타일 교체 네 확인했습니다,환경,청결/미화,작업,유지보수,3.5999999999999996,7.199999999999999,cron_20260114_144527,2026-01-14T14:47:37.587853+09:00
7528,124,2025-12-22 10:43:00,32번게이트 천정 내부 청소,내부 청소 바랍니다,4F,리빙파크,스프링쿨러 및 감지기 자리 빼고 청소완료했습니다,2025-12-23 10:15:24.173852,전기,박상원,32번게이트 천정 내부 청소,내부 청소 바랍니다 32번게이트 천정 내부 청소 스프링쿨러 및 감지기 자리 빼고 청소완료했습니다,시설,소방/방재,청소/정리,청소/정리,17.4,7.199999999999999,cron_20260114_144527,2026-01-14T14:47:37.587853+09:00
7529,124,2025-12-22 11:37:00,고보라이트 정렬,삐뚤어진것 정렬바랍니다,3F,영풍문고,조정완료했습니다,2025-12-23 10:08:47.040949,전기,김균식,고보라이트 정렬,삐뚤어진것 정렬바랍니다 고보라이트 정렬 조정완료했습니다,시설,전기/조명,기타,기타,3.5100000000000002,0.0,cron_20260114_144527,2026-01-14T14:47:37.587853+09:00
7543,124,2025-12-22 17:15:00,네온사인 탈락 고정,고정바랍니다,7F,D-7 푸드코트,"오픈전 고정 가능여부 확인해보겠습니다
현재는 네온등 고정 아크릴 파손상태입니다",2025-12-22 17:38:00.285145,전기,박상원,네온사인 탈락 고정,고정바랍니다 네온사인 탈락 고정 오픈전 고정 가능여부 확인해보겠습니다 현재는 네온등 고정 아크릴 파손상태입니다,기타,기타,작업,유지보수,0.0,7.199999999999999,cron_20260114_144527,2026-01-14T14:47:37.587853+09:00
